[Thread 3 - SHORT] Python code to be executed:
import pyautogui
import time

# Mario is on the ground with two Goomba enemies approaching
# Need to jump over the Goombas

# Jump over the first Goomba
pyautogui.keyDown('right')  # Move forward
pyautogui.keyDown('x')      # Start jump
time.sleep(0.2)             # Hold jump button
pyautogui.keyUp('x')        # Release jump
time.sleep(0.3)             # Continue moving right

# Prepare for second Goomba
pyautogui.keyDown('x')      # Jump again
time.sleep(0.2)             # Hold jump
pyautogui.keyUp('x')        # Release jump
time.sleep(0.3)             # Continue moving right

pyautogui.keyUp('right')    # Stop moving right


